name,genres,duration,released_date,reviews,comments,language,rating,director,actor,investment,revenue
Malignant,"Horror, Thriller, Mystery, Crime",1h 51m,09/10/2021 (US),3,3,English,71,James Wan,Annabelle Wallis,"$40,000,000.00","$24,640,084.00"
The Courier,"Thriller, History, Drama",1h 52m,03/19/2021 (US),2,1,English,71,Dominic Cooke,Benedict Cumberbatch,-,"$15,775,585.00"
The Tomorrow War,"Action, Science Fiction, Adventure",2h 18m,07/02/2021 (US),3,3,English,81,Chris McKay,Chris Pratt,"$200,000,000.00",-
Escape Room: Tournament of Champions,"Horror, Thriller, Mystery",1h 28m,07/16/2021 (US),0,1,English,70,Adam Robitel,Taylor Russell,"$15,000,000.00","$44,888,959.00"
How I Became a Superhero,"Science Fiction, Adventure, Mystery, Action, Thriller, Fantasy, Comedy",1h 41m,11/19/2020 (NL),0,0,French,61,Douglas Attal,Pio Marmaï,"$18,000,000.00",-
The Kids Are Alright: Destination Asturias,"Comedy, Family",1h 30m,07/08/2021 (ES),0,0,Spanish; Castilian,52,Santiago Segura,Santiago Segura,"$5,308,245.00","$3,468,053.00"
Mortal Kombat,"Action, Fantasy, Adventure",1h 50m,04/23/2021 (US),7,6,English,73,Simon McQuoid,Lewis Tan,"$20,000,000.00","$83,601,013.00"
Infinite,"Science Fiction, Action, Thriller",1h 46m,06/10/2021 (FR),2,2,English,74,Antoine Fuqua,Mark Wahlberg,-,-
No One Gets Out Alive,"Horror, Thriller, Mystery",1h 25m,09/29/2021 (US),0,0,English,61,Santiago Menghini,Cristina Rodlo,-,-
Ava,Drama,1h 46m,06/21/2017 (FR),0,2,French,60,Léa Mysius,Noée Abita,-,-
"The Simpsons: The Good, the Bart, and the Loki","Animation, Comedy, Family",6m,07/07/2021 (US),0,0,English,77,David Silverman,Tom Hiddleston,-,-
Nightbooks,"Fantasy, Family, Horror",1h 43m,09/15/2021 (US),0,0,English,67,David Yarovesky,Winslow Fegley,-,-
Avatar,"Action, Adventure, Fantasy, Science Fiction",2h 42m,12/18/2009 (US),2,11,English,75,James Cameron,Sam Worthington,"$237,000,000.00","$2,847,246,203.00"
Sounds Like Love,"Comedy, Romance",1h 50m,09/29/2021 (US),0,0,Spanish; Castilian,68,Juana Macías,María Valverde,-,-
Dynasty Warriors,"Action, Adventure, Fantasy",1h 57m,04/29/2021 (TW),0,0,Cantonese,67,Roy Chow Hin-Yeung,Louis Koo,-,-
Confessions of an Invisible Girl,"Comedy, Drama",1h 31m,09/22/2021 (BR),0,0,Portuguese,70,Bruno Garotti,Klara Castanho,-,-
The Guilty,"Drama, Crime, Thriller",1h 31m,09/24/2021 (US),0,2,English,66,Antoine Fuqua,Jake Gyllenhaal,-,-
The Forever Purge,"Horror, Action, Thriller",1h 43m,07/02/2021 (US),1,2,English,74,Everardo Gout,Ana de la Reguera,"$18,000,000.00","$76,981,630.00"
Knowing,"Action, Adventure, Drama, Mystery, Science Fiction, Thriller",2h 1m,03/20/2009 (US),3,3,English,61,Alex Proyas,Nicolas Cage,"$50,000,000.00","$155,446,362.00"
Rurouni Kenshin: The Beginning,"Action, Adventure, Drama",2h 18m,06/04/2021 (JP),0,1,Japanese,78,Keishi Ōtomo,Takeru Satoh,-,-
Eggs Run,"Animation, Comedy",,08/12/2021 (MX),0,0,Spanish; Castilian,81,Gabriel Riva Palacio Alatriste,Bruno Bichir,-,-
Godzilla vs. Kong,"Action, Adventure, Fantasy",1h 53m,03/26/2021 (VN),9,13,English,79,Adam Wingard,Alexander Skarsgård,"$200,000,000.00","$467,863,133.00"
"Barbie: Big City, Big Dreams","Animation, Music, Family",1h 2m,08/20/2021 (GB),0,0,English,73,Scott Pleydell-Pearce,America Young,-,-
Mobile Suit Gundam Hathaway,"Animation, Action, Drama, Science Fiction",1h 36m,06/11/2021 (JP),0,0,Japanese,81,Shuko Murase,Kensho Ono,-,-
Candyman,"Horror, Thriller",1h 31m,08/27/2021 (US),1,3,English,65,Nia DaCosta,Yahya Abdul-Mateen II,"$25,000,000.00","$75,000,000.00"
Zack Snyder's Justice League,"Action, Adventure, Fantasy, Science Fiction",4h 2m,03/18/2021 (VN),9,12,English,84,Zack Snyder,Ben Affleck,"$70,000,000.00",-
Intrusion,Thriller,1h 33m,09/22/2021 (US),0,2,English,63,Adam Salky,Freida Pinto,-,-
Miraculous World: Shanghai – The Legend of Ladydragon,"Animation, Comedy, Family, Adventure",52m,07/09/2021 (IT),0,1,French,79,Thomas Astruc,Anouck Hautbois,-,-
LEGO Star Wars Terrifying Tales,"Animation, Family, Science Fiction, Comedy, Horror",45m,10/01/2021 (US),0,0,English,73,Ken Cunningham,Jake Green,-,-
Hotel Transylvania: Transformania,"Family, Animation, Fantasy, Comedy, Adventure",,01/14/2022 (US),0,0,English,0,Derek Drymon,Brian Hull,-,-
Monster Pets: A Hotel Transylvania Short,"Animation, Comedy, Fantasy",6m,04/09/2021 (ES),0,1,English,76,Derek Drymon,Brian Hull,-,-
El mesero,Comedy,1h 26m,07/15/2021 (MX),0,0,Spanish; Castilian,83,Raúl Martínez,Vadhir Derbez,-,-
The Unholy,Horror,1h 39m,04/02/2021 (VN),1,1,English,69,Evan Spiliotopoulos,Jeffrey Dean Morgan,"$10,000,000.00","$30,763,855.00"
Bingo Hell,Thriller,1h 25m,10/01/2021 (US),0,4,English,52,Gigi Saúl Guerrero,Adriana Barraza,-,-
Mortal Kombat Legends: Battle of the Realms,"Animation, Action, Fantasy",1h 20m,08/31/2021 (US),1,0,English,81,Ethan Spaulding,Jordan Rodrigues,-,-
The Last Mercenary,"Action, Comedy",1h 50m,07/30/2021 (US),0,0,French,69,David Charhon,Jean-Claude Van Damme,-,-
The Conjuring: The Devil Made Me Do It,"Horror, Mystery, Thriller",1h 51m,06/04/2021 (US),3,1,English,78,Michael Chaves,Patrick Wilson,"$39,000,000.00","$199,166,992.00"
Army of the Dead,"Action, Adventure, Horror, Crime",2h 28m,05/14/2021 (US),5,6,English,64,Zack Snyder,Dave Bautista,-,"$780,000.00"
Major Grom: Plague Doctor,"Action, Adventure",2h 16m,04/01/2021 (RU),0,1,Russian,68,Oleg Trofim,Tikhon Zhiznevsky,"$5,000,000.00","$4,493,306.00"
Beckett,"Action, Adventure, Crime, Drama, Thriller, Mystery",1h 49m,08/13/2021 (US),2,2,English,65,Ferdinando Cito Filomarino,John David Washington,-,-
Raya and the Last Dragon,"Family, Fantasy, Animation, Action, Adventure",1h 47m,03/05/2021 (US),8,2,English,81,Carlos López Estrada,Kelly Marie Tran,"$100,000,000.00","$130,000,000.00"
The Marco Effect,"Thriller, Crime",2h,05/27/2021 (DK),0,1,Danish,64,Martin Zandvliet,Ulrich Thomsen,-,"$2,686.00"
A Quiet Place Part II,"Science Fiction, Thriller, Horror",1h 37m,05/28/2021 (US),6,7,English,77,John Krasinski,Emily Blunt,"$61,000,000.00","$295,080,235.00"
Redemption Day,Action,1h 40m,01/08/2021 (US),0,0,English,67,Hicham Hajji,Gary Dourdan,-,-
The Misfits,"Action, Comedy, Crime",1h 34m,06/11/2021 (US),0,1,English,57,Renny Harlin,Pierce Brosnan,-,-
The Night House,"Horror, Thriller, Mystery",1h 47m,08/20/2021 (US),0,0,English,68,David Bruckner,Rebecca Hall,-,"$14,586,571.00"
Black Water: Abyss,"Horror, Thriller, Adventure, Mystery",1h 38m,08/07/2020 (US),1,2,English,51,Andrew Traucki,Jessica McNamee,-,-
Jolt,"Action, Comedy",1h 31m,07/15/2021 (AE),1,1,English,68,Tanya Wexler,Kate Beckinsale,-,-
The Marksman,"Action, Thriller, Crime",1h 48m,01/15/2021 (US),2,2,English,72,Robert Lorenz,Liam Neeson,"$23,000,000.00","$22,039,969.00"
Monster Hunter,"Action, Fantasy, Adventure",1h 44m,12/18/2020 (US),3,4,English,69,Paul W. S. Anderson,Milla Jovovich,"$60,000,000.00","$25,814,306.00"
Black as Night,"Horror, Thriller",1h 27m,10/01/2021 (US),0,0,English,56,Maritte Lee Go,Asjha Cooper,-,-
Ava,"Action, Crime, Drama, Thriller",1h 36m,09/25/2020 (US),6,1,English,57,Tate Taylor,Jessica Chastain,-,"$2,987,741.00"
My Hero Academia: Heroes Rising,"Animation, Action, Fantasy, Adventure",1h 44m,02/26/2020 (US),0,1,Japanese,85,Kenji Nagasaki,Daiki Yamashita,-,"$29,900,850.00"
Mutation on Mars,"Drama, Science Fiction",,08/27/2021 (CN),0,0,Chinese,62,,Shi Liang,-,-
Dune,"Action, Adventure, Drama, Science Fiction",2h 35m,10/22/2021 (US),0,20,English,81,Denis Villeneuve,Timothée Chalamet,"$165,000,000.00","$100,000,000.00"
The Amazing Spider-Man,"Action, Adventure, Fantasy",2h 16m,06/29/2012 (VN),3,10,English,66,Marc Webb,Andrew Garfield,"$215,000,000.00","$757,930,663.00"
Hancock,"Fantasy, Action",1h 32m,07/01/2008 (US),0,5,English,63,Peter Berg,Will Smith,"$150,000,000.00","$629,443,428.00"
The Croods: A New Age,"Animation, Family, Adventure, Fantasy, Comedy",1h 35m,11/27/2020 (VN),1,1,English,76,Joel Crawford,Nicolas Cage,"$65,000,000.00","$168,285,000.00"
Vacation Friends,Comedy,1h 43m,08/27/2021 (US),0,2,English,73,Clay Tarver,John Cena,-,-
The Loud House Movie,"Animation, Family, Comedy, Music, Fantasy",1h 23m,08/20/2021 (US),0,0,French,83,Dave Needham,Asher Bishop,-,-
Avengers: Infinity War,"Adventure, Action, Science Fiction",2h 29m,04/27/2018 (US),30,105,English,83,Anthony Russo,Robert Downey Jr.,"$300,000,000.00","$2,046,239,637.00"
Crank: High Voltage,"Action, Thriller, Crime",1h 36m,04/16/2009 (US),0,1,English,60,Brian Taylor,Jason Statham,"$20,000,000.00","$34,560,577.00"
Body Brokers,"Thriller, Crime",1h 51m,02/19/2021 (US),0,0,English,66,John Swab,Jack Kilmer,-,-
After We Collided,"Romance, Drama",1h 45m,09/02/2020 (IT),1,1,English,73,Roger Kumble,Josephine Langford,-,"$42,000,000.00"
Vivo,"Animation, Family, Comedy",1h 39m,08/06/2021 (IE),0,0,English,78,Kirk DeMicco,Lin-Manuel Miranda,-,-
"Miraculous World: New York, United HeroeZ","Animation, Family, Comedy, Adventure, TV Movie",55m,12/18/2020 (IT),0,2,French,83,Thomas Astruc,Anouck Hautbois,-,-
Seobok,"Science Fiction, Action",1h 54m,04/12/2021 (ID),0,0,Korean,74,Lee Yong-ju,Gong Yoo,-,-
Spirit Untamed,"Animation, Adventure, Family, Western",1h 28m,06/04/2021 (US),0,0,English,78,Elaine Bogan,Isabela Merced,"$30,000,000.00","$17,635,215.00"
Spider-Man: No Way Home,"Science Fiction, Action, Adventure, Fantasy",,12/17/2021 (US),0,6,English,0,Jon Watts,Tom Holland,-,-
Wonder Woman 1984,"Action, Adventure, Fantasy",2h 31m,12/17/2020 (VN),12,19,English,67,Patty Jenkins,Gal Gadot,"$200,000,000.00","$165,160,005.00"
Trigger Point,"Action, Thriller",1h 22m,04/23/2021 (US),0,0,English,66,Brad Turner,Barry Pepper,-,-
Breathless,"Crime, Drama, Thriller",1h 46m,08/11/2021 (MX),0,0,Spanish; Castilian,59,Ettore D'Alessandro,Elvis Nolasco,"$1,200,000.00",-
Boruto: Naruto the Movie,"Animation, Action, Comedy",1h 35m,08/07/2015 (JP),0,0,Japanese,77,Hiroyuki Yamashita,Yuko Sanpei,-,"$40,200,000.00"
The Addams Family,"Family, Animation, Comedy, Fantasy",1h 26m,10/11/2019 (US),4,2,English,66,Greg Tiernan,Oscar Isaac,"$40,000,000.00","$203,044,905.00"
Tom & Jerry,"Comedy, Family, Animation",1h 41m,02/26/2021 (US),2,4,English,71,Tim Story,Chloë Grace Moretz,"$50,000,000.00","$132,000,000.00"
Soul,"Family, Animation, Music, Comedy, Fantasy",1h 41m,12/25/2020 (TW),7,6,English,82,Pete Docter,Jamie Foxx,"$150,000,000.00","$136,384,442.00"
Carriers,"Action, Drama, Horror, Science Fiction, Thriller",1h 24m,09/04/2009 (US),1,0,English,58,David Pastor,Lou Taylor Pucci,-,"$5,802,422.00"
Awake,"Drama, Science Fiction, Thriller",1h 36m,06/09/2021 (US),3,0,English,60,Mark Raso,Gina Rodriguez,-,-
The Many Saints of Newark,"Crime, Drama",2h,10/01/2021 (US),0,2,English,68,Alan Taylor,Alessandro Nivola,-,"$7,300,000.00"
Peter Rabbit 2: The Runaway,"Family, Comedy, Adventure, Animation, Fantasy",1h 33m,06/18/2021 (US),1,2,English,74,Will Gluck,James Corden,"$45,000,000.00","$153,000,000.00"
Naruto Shippuden the Movie,"Animation, Action, Fantasy",1h 34m,08/04/2007 (JP),0,0,Japanese,73,Hajime Kamegaki,Junko Takeuchi,"$29,000,000.00",-
The Boy Who Killed My Parents,"Crime, Drama, Thriller",1h 28m,09/24/2021 (BR),0,0,Portuguese,64,Maurício Eça,Carla Diaz,-,-
Nobody,"Action, Crime, Thriller, Drama",1h 32m,03/26/2021 (US),6,3,English,83,Ilya Naishuller,Bob Odenkirk,"$17,000,000.00","$61,779,301.00"
The Girl Who Killed Her Parents,"Crime, Drama, Thriller",1h 25m,09/24/2021 (BR),0,0,Portuguese,65,Maurício Eça,Carla Diaz,-,-
Black Island,Thriller,1h 45m,08/18/2021 (US),0,0,German,62,Miguel Alexandre,Philip Froissant,-,-
Teen Titans Go! See Space Jam,"Animation, Action, Adventure, Comedy, Family, Fantasy, Science Fiction",1h 20m,07/27/2021 (GB),0,1,English,70,Peter Rida Michail,Greg Cipes,-,-
Tom Clancy's Without Remorse,"Action, Thriller, War",1h 49m,04/29/2021 (US),3,4,English,72,Stefano Sollima,Michael B. Jordan,-,-
The Last: Naruto the Movie,"Action, Romance, Animation",1h 54m,12/06/2014 (JP),0,0,Japanese,79,Tsuneo Kobayashi,Junko Takeuchi,"$1,000,000.00","$16,500,000.00"
Host,"Horror, Thriller, Mystery",1h 8m,12/18/2020 (ES),0,1,English,66,Rob Savage,Haley Bishop,-,"$26,745.00"
Cinderella,"Fantasy, Romance, Comedy",1h 53m,09/03/2021 (US),0,4,English,68,Kay Cannon,Camila Cabello,-,-
G.I. Joe: The Rise of Cobra,"Adventure, Action, Thriller, Science Fiction",1h 58m,08/07/2009 (US),1,2,English,57,Stephen Sommers,Dennis Quaid,"$175,000,000.00","$302,469,017.00"
Ninja Assassin,Action,1h 39m,09/29/2009 (US),1,2,English,65,James McTeigue,Rain,"$40,000,000.00","$60,462,347.00"
The Mad Women's Ball,"Drama, Thriller",2h 1m,09/17/2021 (US),0,0,French,72,Mélanie Laurent,Lou de Laâge,-,-
Legion,"Horror, Action, Fantasy",1h 40m,01/22/2010 (US),0,2,English,57,Scott Stewart,Paul Bettany,"$26,000,000.00","$67,918,658.00"
The Avengers,"Science Fiction, Action, Adventure",2h 23m,04/27/2012 (VN),41,13,English,77,Joss Whedon,Robert Downey Jr.,"$220,000,000.00","$1,518,815,515.00"
Cry Macho,"Western, Drama",1h 44m,09/17/2021 (US),1,1,English,68,Clint Eastwood,Clint Eastwood,"$33,000,000.00",-
Percy Jackson & the Olympians: The Lightning Thief,"Adventure, Fantasy, Family",1h 58m,02/11/2010 (US),0,4,English,62,Chris Columbus,Logan Lerman,"$95,000,000.00","$226,497,209.00"
"Yes, No, or Maybe Half?","Animation, Drama, Romance",53m,12/11/2020 (JP),0,0,Japanese,63,Masahiro Takata,Atsushi Abe,-,-
Go! Go! Cory Carson: Chrissy Takes the Wheel,"Animation, Family",,09/21/2021 (US),0,0,English,65,,Maisie Benson,-,-
Monstruosamente Solo,"Comedy, Drama, Animation",,09/16/2021 (MX),0,0,English,60,Enrique Cruz,Eréndira Ibarra,-,-
Undisputed III: Redemption,"Action, Thriller",1h 36m,05/22/2010 (US),0,0,English,75,Isaac Florentine,Scott Adkins,"$3,000,000.00",-
Bartkowiak,"Action, Thriller",1h 31m,07/28/2021 (US),0,0,Polish,63,Daniel Markowicz,Józef Pawłowski,-,-
Star Trek,"Science Fiction, Action, Adventure",2h 7m,05/07/2009 (US),2,6,English,74,J.J. Abrams,Chris Pine,"$150,000,000.00","$385,680,446.00"
The Haunting of Helena,"Horror, Thriller",1h 27m,06/21/2013 (US),1,1,English,56,Ascanio Malgarini,Harriet MacMasters-Green,-,-
After,"Romance, Drama",1h 46m,04/12/2019 (US),1,4,English,72,Jenny Gage,Josephine Langford,"$14,000,000.00","$69,497,587.00"
Vanguard,"Action, Adventure, Crime",1h 47m,09/30/2020 (CN),1,1,Chinese,63,Stanley Tong,Jackie Chan,-,"$27,900,000.00"
The Exorcism of Carmen Farias,Horror,,07/05/2021 (MX),0,0,Spanish; Castilian,64,Rodrigo Fiallega,Camila Sodi,-,"$1,474,579.00"
The SpongeBob Movie: Sponge on the Run,"Family, Animation, Fantasy, Adventure, Comedy",1h 35m,08/14/2020 (CA),1,1,English,77,Tim Hill,Tom Kenny,"$60,000,000.00","$4,700,000.00"
Wish Dragon,"Animation, Family, Comedy, Fantasy",1h 39m,01/15/2021 (CN),1,2,English,83,Chris Appelhans,Jimmy Wong,-,"$25,860,000.00"
Coco,"Family, Animation, Fantasy, Music, Comedy, Adventure",1h 45m,11/22/2017 (US),4,17,English,82,Lee Unkrich,Anthony Gonzalez,"$175,000,000.00","$800,526,015.00"
Friendzone,"Romance, Comedy",,09/29/2021 (FR),0,0,French,64,Charles Van Tieghem,Mickaël Lumière,-,-
Forever Rich,"Crime, Comedy, Drama",1h 29m,10/01/2021 (US),0,0,Dutch; Flemish,55,Shady El-Hamus,Jonas Smulders,-,-
Spiral: From the Book of Saw,"Horror, Thriller, Mystery",1h 33m,05/14/2021 (US),2,2,English,63,Darren Lynn Bousman,Chris Rock,"$20,000,000.00","$36,544,468.00"
Roald Dahl's The Witches,"Family, Fantasy, Adventure, Comedy, Horror",1h 46m,10/25/2020 (IT),4,5,English,66,Robert Zemeckis,Anne Hathaway,$45.00,-
Iron Man 2,"Adventure, Action, Science Fiction",2h 4m,05/07/2010 (US),6,5,English,68,Jon Favreau,Robert Downey Jr.,"$200,000,000.00","$623,933,331.00"
Spider-Man: Far From Home,"Action, Adventure, Science Fiction",2h 9m,07/02/2019 (US),14,34,English,75,Jon Watts,Tom Holland,"$160,000,000.00","$1,131,927,996.00"
Sex and the City,"Comedy, Drama, Romance",2h 25m,05/30/2008 (US),0,1,English,66,Michael Patrick King,Sarah Jessica Parker,"$65,000,000.00","$415,252,786.00"
Prey,Thriller,1h 26m,09/10/2021 (US),0,0,German,45,Thomas Sieben,David Kross,-,-
Evangelion: 3.0+1.0 Thrice Upon a Time,"Animation, Action, Drama, Science Fiction",2h 35m,03/08/2021 (JP),0,1,Japanese,87,Hideaki Anno,Megumi Ogata,-,"$78,334,943.00"
There's Something About Mario,Comedy,1h 45m,06/10/2021 (BR),1,0,Portuguese,56,Hsu Chien Hsin,Daniel Rocha,-,-
Spider-Man: Homecoming,"Action, Adventure, Science Fiction, Drama",2h 13m,07/07/2017 (US),10,68,English,74,Jon Watts,Tom Holland,"$175,000,000.00","$880,166,924.00"
Avengers: Endgame,"Adventure, Science Fiction, Action",3h 1m,04/26/2019 (VN),56,90,English,83,Anthony Russo,Robert Downey Jr.,"$356,000,000.00","$2,797,800,564.00"
22 vs. Earth,"Family, Comedy, Fantasy, Animation",9m,04/30/2021 (US),0,2,English,72,Kevin Nolting,Tina Fey,-,-
Jiu Jitsu,"Fantasy, Action, Science Fiction",1h 42m,11/20/2020 (US),0,1,English,51,Dimitri Logothetis,Nicolas Cage,"$23,000,000.00","$99,924.00"
Venom,"Horror, Thriller",1h 25m,09/16/2005 (US),0,0,English,55,Jim Gillespie,Agnes Bruckner,-,"$881,779.00"
My Hero Academia: Two Heroes,"Animation, Action, Adventure, Fantasy",1h 36m,09/25/2018 (US),0,1,Japanese,80,Kenji Nagasaki,Daiki Yamashita,"$12,000,000.00","$31,478,826.00"
The Voyeurs,Thriller,1h 57m,09/10/2021 (US),0,2,English,69,Michael Mohan,Sydney Sweeney,-,-
Dreamcatcher,"Horror, Mystery, Thriller",1h 30m,03/05/2021 (US),0,0,English,66,Jacob Johnston,Niki Koss,-,-
Trollhunters: Rise of the Titans,"Animation, Fantasy, Family, Action, Adventure, Science Fiction",1h 46m,07/21/2021 (US),0,0,English,80,Francisco Ruiz Velasco,Emile Hirsch,-,-
Fear Street: 1994,"Horror, Mystery",1h 47m,07/02/2021 (US),1,2,English,68,Leigh Janiak,Kiana Madeira,-,-
Fatherhood,"Drama, Family, Comedy",1h 49m,06/18/2021 (RU),2,3,English,77,Paul Weitz,Kevin Hart,-,-
The King of Fighters,"Action, Thriller, Science Fiction",1h 33m,08/26/2010 (US),0,0,English,47,Gordon Chan,Sean Faris,"$12,000,000.00","$2,000,371.00"
PAW Patrol: Jet to the Rescue,"Family, Animation",,09/03/2020 (NL),0,1,English,70,,Anya Cooke,-,-
The Twilight Saga: Eclipse,"Adventure, Fantasy, Drama, Romance",2h 4m,06/23/2010 (US),1,1,English,62,David Slade,Kristen Stewart,"$68,000,000.00","$698,491,347.00"
Law Abiding Citizen,"Drama, Crime, Thriller",1h 49m,10/15/2009 (US),1,3,English,73,F. Gary Gray,Jamie Foxx,"$53,000,000.00","$126,690,726.00"
